"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"NCD";"1987";"INTERCITES - Train à charge, VL< 160 km/h, autres dessertes";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBD";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, autres dessertes";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCE";"1987";"INTERCITES - Train à charge, VL< 160 km/h, axes de l'Est";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBE";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, axes de l'Est";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCM";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Massif central";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBM";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Massif central";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCO";"1987";"INTERCITES - Train à charge, VL< 160 km/h, 100% ECO";"SNCF-Intercités";2018;"TGL";"Service librement organisé";;
"NCS";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Centre-Sud";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCA";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Méditerranée Atlantique";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCP";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Nord-Est";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NCN";"1987";"INTERCITES - Train à charge, VL< 160 km/h, Normandie";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBO";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, 100% ECO";"SNCF-Intercités";2018;"TGL";"Service librement organisé";;
"NBS";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Centre-sud";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBA";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Méditerranée Atlantique";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBP";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Nord Est";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"NBN";"1987";"INTERCITES - Train à charge, VL>= 160 km/h, Normandie";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LCC";"1987";"INTERCITES RESA - Nuit, V < 160 km/h à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LBC";"1987";"INTERCITES RESA - Nuit, V>= 160 km/h, à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LBG";"1987";"Voyageurs internationaux - Trains spéciaux (pèlerins et autres) à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LCS";"1987";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V< 160 km/h, à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LBS";"1987";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V>= 160 km/h, à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LBL";"1987";"Voyageurs internationaux - Trains non TGV (hors spéciaux), à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LCB";"1987";"INTERCITES RESA - Sud-Est, V< 160 km/h à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
"LBB";"1987";"INTERCITES RESA - Sud-Est, V>= 160 km/h à charge";"SNCF-Intercités";2018;"TET";"Service conventionné";"Etat";"Intercités"
